source_offset,source_id,content_group,marker_stratum,restrictive_notice,open_licence_marker,public_domain_marker,government_copyright_marker,copyright_marker,first_marker_offset,marker_within_initial_120k,classification_tied,script_group,prompt_chars,domains
234,bbd146dda0a412c706365076a9d4aa821e11a3aa951d726c,software/code/technical-QA,explicit_restrictive_notice,True,False,False,False,True,3852,True,False,latin_or_other,33738,github.com;pub.dev
237,9aa941498ed3db7223eeea9359284c9385256ddef0e9abb3,news/blog/general web,explicit_restrictive_notice,True,False,False,False,True,101523,True,False,han,101568,
247,11150a616896c2c0c93a3b553d74081155b368d70ea07b7d,scholarly/research,generic_copyright_or_bibliographic_marker,False,False,False,False,True,36234,True,False,latin_or_other,44466,
248,bf6730e3631438484ae476081fd35393e30742a010ab5160,books/literary/publisher,explicit_restrictive_notice,True,False,False,False,True,45657,True,False,latin_or_other,49061,ctpub.com;tinyurl.com
249,19ff638c301f8eab2ea83d8f79a9e12a4eea4f9500adbe89,books/literary/publisher,explicit_public_domain_marker,False,False,True,False,True,25341,True,True,latin_or_other,73239,drinkingsongs.net;folklore.ms;itunes.apple.com;kevinbloodywilson.com;mudcat.org;smithsonianglobalsound.org;sniff.numachi.com;warrenfahey.com.au
251,487ebb1858d62859e62577245d7cfe439089899050aab7d6,unclassified/mixed,generic_copyright_or_bibliographic_marker,False,False,False,False,True,69,True,False,latin_or_other,21231,
254,5adf701ee8f82a3b9f4dc1b4321e6bc3bbb34986afa2ee90,scholarly/research,generic_copyright_or_bibliographic_marker,False,False,False,False,True,18507,True,True,latin_or_other,39752,
258,201bdc79ee379103c8a34bd4de86edb04ef316065b6e2ca8,scholarly/research,generic_copyright_or_bibliographic_marker,False,False,False,False,True,43724,True,False,latin_or_other,44086,
260,17269c2737a6f7e14552d48bbc5aa6d0e25f73b9daf6a241,books/literary/publisher,explicit_restrictive_notice,True,False,False,False,True,328,True,False,latin_or_other,43223,wesleyan.edu
270,a50652f1e72b117d6360b9807f72c0cf947a897da0df206b,books/literary/publisher,explicit_restrictive_notice,True,False,False,False,True,37727,True,True,latin_or_other,38404,davidyoungpoet.com;randomhouse.com
283,f20923dbcf95cd08da70bae043c1d845d19a81ce8c4c6175,books/literary/publisher,explicit_restrictive_notice,True,False,False,False,True,27230,True,False,latin_or_other,29139,lccn.loc.gov;simonandschuster.com;simonspeakers.com
307,37d1aafbd356e24f868af0122a92e21cae5885ff9714670e,manual/technical documentation,explicit_restrictive_notice,True,False,False,False,True,78,True,False,latin_or_other,150686,teledyneisco.com
308,907a33c6afb105e13da79b6dc4dee242f188314e1cd142f7,manual/technical documentation,explicit_restrictive_notice,True,False,False,False,True,80,True,True,han,83586,
312,fd699cebcf696f58bfb5d09cdbf957b54cd7f20de2d35e9d,books/literary/publisher,explicit_restrictive_notice,True,False,False,False,True,2,True,False,latin_or_other,60812,
315,3be23c7f86d99bebc27f5c167433ca3ab0a3f3ac149e0e58,software/code/technical-QA,explicit_open_licence_marker,False,True,False,False,True,8459,True,False,latin_or_other,29774,apache.org;developer.android.com
323,5ff3b1c19c57ad6c9783cc06b00d8ea0e6e906eb259b74f2,scholarly/research,explicit_open_licence_marker,False,True,False,False,True,1857,True,False,latin_or_other,44983,doi.org
326,00deaa506558fa9194a965ad3e8a9b0a40b2b20a97300942,books/literary/publisher,generic_copyright_or_bibliographic_marker,False,False,False,False,True,40,True,False,latin_or_other,111664,wildsidebooks.com
331,b614c8d886f5fa6d414874d75e589bc6fa9c13e485ecace3,books/literary/publisher,mixed_restrictive_and_open_or_public,True,True,False,False,True,143,True,False,latin_or_other,129167,creativecommons.org;lulu.com
336,badabc1cfc53730346c224d6ac64739b32db7ca3ff337830,books/literary/publisher,explicit_restrictive_notice,True,False,False,False,True,359,True,False,latin_or_other,37242,
340,fe85863965ac5be6f427ebd7d4651ebe1e3714fae81d2698,government/legal/procurement,generic_copyright_or_bibliographic_marker,False,False,False,False,True,33913,True,False,han,78217,ccgp.gov.cn;creditchina.gov.cn;zmxggzy.com
341,b413b0d1ca314a967b65a4c464c6c28eef4d672c768202fa,books/literary/publisher,explicit_restrictive_notice,True,False,False,False,True,150,True,False,latin_or_other,64995,ebooks.learntoplaymusic.com
350,1dff79e752e590fba4fc34a6697e50cf1b52bcb4377ebd74,software/code/technical-QA,explicit_restrictive_notice,True,False,False,False,True,3732,True,False,latin_or_other,23206,energy.saynoto0870.com;exampledepot.com;google-analytics.com;homephone.consumerchoices.co.uk;microsoft.co.uk;pagead2.googlesyndication.com;saynoto0870.com;w3.org;websitename.com;xbox.co.uk
352,5106f1dcd028a8286b69285d1f5c4ab025543e6f6af3a402,books/literary/publisher,explicit_public_domain_marker,False,False,True,False,True,305,True,False,latin_or_other,53016,pgdp.net
357,b11cd3439e496467b5357b5828e89ad907a883843e8d7fd9,books/literary/publisher,explicit_restrictive_notice,True,False,False,False,True,46862,True,True,latin_or_other,48351,simonandschuster.com;simonspeakers.com
363,fe7a499bc167dc2e3b9fecafc7e91d7254379c8834d9c6b4,government/legal/procurement,explicit_restrictive_notice,True,False,False,False,True,0,True,False,latin_or_other,315630,humanrights.gov.au
367,4da6859fc735ee16cac10e5a5ed13a32da2c214bde85f0b7,scholarly/research,generic_copyright_or_bibliographic_marker,False,False,False,False,True,22581,True,False,latin_or_other,52631,
369,8a35816265f34d162b2abf4f9b9581295851386d48cfe496,scholarly/research,explicit_restrictive_notice,True,False,False,False,True,1850,True,False,latin_or_other,85750,arc2earth.com;climatepolicyinitiative.org;cran.r-project.org;doi.org;earth.google.com;forestry.gov.cn;google.com;jcs.mep.gov.cn;lpdaac.usgs.gov;mep.gov.cn;srtm.usgs.gov;tradingeconomics.com;vip.arizona.edu
372,09f135e81ff2befee6639087dbb70215df262169347c253e,corporate/financial/ESG,generic_copyright_or_bibliographic_marker,False,False,False,False,True,167,True,False,han,128510,accc.gov.au;anatel.gov.br;consumerlaw.gov.au;epeat.net;hp.com;hp.com.au;register.hp.com;support.hp.com
373,9854c06a6105bd65a4ea8ee5ad71fd19588648105f684622,books/literary/publisher,explicit_restrictive_notice,True,False,False,False,True,52870,True,False,latin_or_other,54423,storey.com
377,b280d3def1e51a51280c8f951cf73ba2f909bbb75e514d27,books/literary/publisher,explicit_restrictive_notice,True,False,False,False,True,2,True,False,latin_or_other,44105,amherstmedia.com;begleiter.com;billypegram.com;cheriefoto.com;danbrouillette.com;dantzigphotography.com;fallcreekphoto.com;ferrophotographyschool.com;garageglamour.com;hernanphotography.com;jeffsmithphoto.com;mwphoto.net;portraitlife.com;prophotoresource.com;rickferro.com;rolandogomez.com;timschooler.com;vgallery.net;weskroninger.com
388,0d677ebe1d0c2a7802057c7bea467a2386d77723929ad396,government/legal/procurement,explicit_open_licence_marker,False,True,False,False,True,24,True,False,latin_or_other,332011,abs.gov.au;creativecommons.org;rba.gov.au
390,9cf525491978286e0f30db464d3dfd01815729d2ec9934b9,news/blog/general web,generic_copyright_or_bibliographic_marker,False,False,False,False,True,23524,True,False,latin_or_other,65428,
396,334e69b457a61ca517482877553570d74fdade14e786793b,books/literary/publisher,mixed_restrictive_and_open_or_public,True,True,False,False,True,3207,True,False,latin_or_other,62436,accesscopyright.ca;gooselane.com
402,4a6e7f75c57bd7d0cdaf8428369333d2b712739f91c4e09d,scholarly/research,generic_copyright_or_bibliographic_marker,False,False,False,False,True,6778,True,False,latin_or_other,140226,aisel.aisnet.org;apastyle.org;astc.org;athenpro.org;cast.org;celt.muohio.edu;design.ncsu.edu;eeonline.org;eric.ed.gov;livescribe.com;ncd.gov;ncsu.edu;nsf.gov;researchinlearningtechnology.net;staff.washington.edu;temple.edu;udlcenter.org;usm.maine.edu;uw.edu;youtube.com
403,12dcc0912f9165da9d74ff15cec5cd0b2d87c8e03606dd98,manual/technical documentation,mixed_restrictive_and_open_or_public,True,True,False,False,True,1826,True,False,latin_or_other,153169,apps.who.int;cdc.gov;columbia.edu;commons.wikimedia.org;creativecommons.org;emergency.cdc.gov;gnu.org;hopkinsmedicine.org;infectioncontroltoday.com;jhpiego.org;jstor.org;ncbi.nlm.nih.gov;oneandonlycampaign.org;osha.gov;phil.cdc.gov;thoracic.org;who.int;whqlibdoc.who.int;wpro.who.int
407,998a1aa256c5ff7468ae7c47e7e0b0d759a95a240acec56c,unclassified/mixed,generic_copyright_or_bibliographic_marker,False,False,False,False,True,565,True,False,latin_or_other,33204,ageconsearch.umn.edu
409,f12de8f6eb9b64c06f781f18f4e7a9af6be999ee1aa198a1,software/code/technical-QA,explicit_restrictive_notice,True,False,False,False,True,21152,True,False,latin_or_other,31650,code.jquery.com;fonts.googleapis.com;php.net;stackoverflow.com
411,7075b19e558ef4c98cdfa057f142a92b5f618f0557f21dfa,corporate/financial/ESG,explicit_restrictive_notice,True,False,False,False,True,33725,True,False,han,33903,
418,12b6bfcf4e985b2750a5f0a3d83ae873ecc3a7480c7b9a6f,books/literary/publisher,explicit_restrictive_notice,True,False,False,False,True,183,True,False,latin_or_other,47647,
436,21594f441ce9dd64bc6612578ecfc1881fe5bffe98b80baa,books/literary/publisher,explicit_restrictive_notice,True,False,False,False,True,225,True,False,latin_or_other,79998,chroniclebooks.com
439,6d687f0bff883eff8846695278c314a8643530d20fbfb898,books/literary/publisher,generic_copyright_or_bibliographic_marker,False,False,False,False,True,143,True,True,latin_or_other,187190,ccmd-ccg.gc.ca;cprn.org;psc-cfp.gc.ca;renoufbooks.com;telusplanet.net
441,895506f26d56505a022a17051cfc02588c990095947a120c,books/literary/publisher,generic_copyright_or_bibliographic_marker,False,False,False,False,True,36,True,False,latin_or_other,86923,
446,6b86f5e3fc3d2c4fefa9f20a290cee58c45ade20350d50fa,books/literary/publisher,explicit_restrictive_notice,True,False,False,False,True,82913,True,False,latin_or_other,84000,
447,59a8f52a661dd42b670e9656ecd66dab694c26bbb774fea9,books/literary/publisher,explicit_restrictive_notice,True,False,False,False,True,94436,True,False,latin_or_other,96876,periplus.com;tuttle.co.jp;tuttlepublishing.com
449,9b5429f2f52e13bd0ac97557486560872e5eaf56ed01c11c,books/literary/publisher,explicit_restrictive_notice,True,False,False,False,True,308,True,False,latin_or_other,48987,
450,5262a1d8f07ed376edb961e0549741525cb02266368a91c1,books/literary/publisher,generic_copyright_or_bibliographic_marker,False,False,False,False,True,288,True,True,latin_or_other,71302,dabirjournal.org;quran.com
457,4b5d736f909437e95a24df086a9aa7d45dc451255e17fd66,books/literary/publisher,explicit_restrictive_notice,True,False,False,False,True,137,True,True,latin_or_other,182062,abs.gov.au;acmedsci.ac.uk;adelaidenow.com.au;afao.org.au;aihw.gov.au;arc.gov.au;arv.ashm.org.au;ausstats.abs.gov.au;beta.health.gov.au;britannica.com;business.gov.au;cancer.gov;doi.org;dx.doi.org;finance.gov.au;futurefund.gov.au;ghdx.healthdata.org;health.gov.au;health.nsw.gov.au;health.qld.gov.au;industry.gov.au;kirby.unsw.edu.au;mja.com.au;mrc.ukri.org;nhmrc.gov.au;nimh.nih.gov;nsf.gov;nsw.gov.au;pbac.pbs.gov.au;psychology.org.au;qimrberghofer.edu.au;ranzcp.org;researchaustralia.org;sciencegenderequity.org.au;smh.com.au;tga.gov.au;thewest.com.au;who.int;wiki.cancer.org.au;ww2.health.wa.gov.au;www2.health.vic.gov.au
458,d5e2df9889badb2b9a00a5924f8d79612618ed11f31c70b4,books/literary/publisher,generic_copyright_or_bibliographic_marker,False,False,False,False,True,984,True,False,latin_or_other,52444,
467,6b705b3ecdd3965c922160a5a085e0fe102a1b3b665b8311,books/literary/publisher,explicit_restrictive_notice,True,False,False,False,True,35,True,False,latin_or_other,95648,orcabook.com
468,181c4a327eb57a9323bd8fde236b9ea8f4965c11028a33c5,scholarly/research,generic_copyright_or_bibliographic_marker,False,False,False,False,True,416,True,False,latin_or_other,38638,biomedcentral.com
472,3aa103861cb9753fc46296dbb0aadaae5932359db8c673cf,scholarly/research,generic_copyright_or_bibliographic_marker,False,False,False,False,True,58521,True,True,latin_or_other,86156,neowing.co.jp
474,a716b5c2b1ac7efe703619546d219ff75604cb16ad282372,books/literary/publisher,generic_copyright_or_bibliographic_marker,False,False,False,False,True,288,True,False,latin_or_other,79426,about.vanguard.com;articles.latimes.com;businesswire.com;crainscleveland.com;forbes.com;fortune.com;huffingtonpost.com;intel.com;jimcollins.com;newsroom.clevelandclinic.org;nytimes.com;ojaifestival.org;penguin.co.uk;theguardian.com
476,7c5d3e32a3f97e248db390a602e6a9e50284a6565a2756e4,government/legal/procurement,generic_copyright_or_bibliographic_marker,False,False,False,False,True,17422,True,False,han,51227,
502,a553bea7e37623e29ed1112e5c34ff860820de88b2e62a39,government/legal/procurement,generic_copyright_or_bibliographic_marker,False,False,False,False,True,94966,True,False,latin_or_other,192078,ace-cae.eu;ajaloomuuseum.ee;archiposition.com;artscouncil.org.uk;asiahouse.org;baike.com;bcaf.com.cn;beda.org;beiao.com;berlinerfestspiele.de;bfi.org.uk;bfna.org;bjnews.com.cn;bjry.com;bosch-stiftung.de;britishcouncil.org;caass.org.cn;cach.org.cn;cae.cn;caeg.cn;carnuntum.co.at;cchfound.org;ccrpf.org.cn;cctv-gac.com;cctv.com;ceibs.edu;cervantes.es;chinamuseum.org.cn;chinaphilharmonic.org;chncpa.org;chnmuseum.cn;cich.org.cn;cnpoc.cn;cnpubg.com;constellations-international.com;cul.jschina.com.cn;culturalink.gov.cn;dfyanyi.com;dpm.prg.cn;drc.gov.cn;ebu.ch;ec.europa.eu;echo.mpiwg-berlin.mpg.de;edc.nl;efa-aef.eu;efea.info;elia-artschools.org;emc-imc.org;encc.eu;epaper.ynet.com;esteri.it;eunic-online.eu;eur-lex.europa.eu;eurocult.org;europanostra.org;europeandigitalmedia.or;europeanheritagealliance.eu;fantawild.com;fep-fee.be;fondation-alliancefr.org;fondazioneprada.org;fosterandpartners.com;fu-berlin.de;gehua.com;gestalten.com;ghstf.org;goethe.de;hbpictures.com;heaven-creation.com;herzogdemeuron.com;iaa-europe.eu;icex.es;ifla.org;infzm.com;kampwesterbork.nl;kaogu.cn;legoland.com;mcorc.gov.cn;modulor.de;monocle.com;nfmedia.com;ntcc.com.cn;olafureliasson.net;oma.eu;operadeparis.fr;politics.gmw.cn;polyculture.com.cn;qdde.org;sach.gov.cn;sd-wx.com.cn;sh-symphony.com;shanghaimuseum.net;si.se;siat.ac;smg.cn;ssap.com.cn;staatsoper-berlin.de;starck.com;stardaily.com.cn;sxhm.com;tefaf.com;theoutlookmagazine.com;tomeetyou.net;vredespaleis.nl;wanda.cn;world.people.com.cn;worldartmuseum.cn;youcheng.org;yugongyishan.com;zcxn.com;zgwwxh.com;zgysyjy.org;zhongkun.com.cn
512,a546b3821e6b843006e86824dbd42766db04532c9a5e3391,government/legal/procurement,explicit_restrictive_notice,True,False,False,False,True,15238,True,False,han,15349,chinanews.com;news.cnwest.com;news.cri.cn;news.sina.com.cn;news.sohu.com;stock.10jqka.com.cn
517,943411d600dca1dc5c5ba97986261ad1b8c0aac362e6a138,scholarly/research,generic_copyright_or_bibliographic_marker,False,False,False,False,True,162,True,False,latin_or_other,197138,aamc.org
526,41564008ec05e518665fa464a145bbd91f9e29aafeefcc6e,books/literary/publisher,explicit_public_domain_marker,False,False,True,False,True,41595,True,False,latin_or_other,72716,
527,cc2ed91f81fcec75b956f0394aff3421a83b253cbbd47ce9,scholarly/research,generic_copyright_or_bibliographic_marker,False,False,False,False,True,28296,True,True,latin_or_other,202133,ats.ucla.edu;core.ecu.edu;cosmed.it;cs.uiowa.edu;dfes.gov.uk;intmed.mcw.edu;lifesci.sussex.ac.uk;ssc.uwo.ca;stat.uiowa.edu;teaching.shu.ac.uk;texasoft.com
535,c3a0352ecdf1021bbebfab23d2cd9ad571e7f7a33bc0b9c2,books/literary/publisher,explicit_restrictive_notice,True,False,False,False,True,1384,True,False,latin_or_other,65139,adamsmedia.com
541,7e25b4b2477e4102d01b317c4ed84a5724d4805d8ac0fad9,unclassified/mixed,generic_copyright_or_bibliographic_marker,False,False,False,False,True,42886,True,False,latin_or_other,43147,
548,450edf20e50a4fdebe3326812df5bcf6728d5166790a2751,unclassified/mixed,generic_copyright_or_bibliographic_marker,False,False,False,False,True,41679,True,False,latin_or_other,41840,
554,36c65e1584119c0f59f3dcff93c61613f1f45e6c8d6e7e38,books/literary/publisher,explicit_restrictive_notice,True,False,False,False,True,215,True,True,han,117647,chenwen.org;code.google.com;commons.apache.org;developer.android.com;dl-ssl.google.com;eclipse.org;example.com;fiddler2.com;google.cn;google.com;ietf.org;oracle.com;phpnow.org;tools.ietf.org;translate.google.cn;w3.org;webxml.com.cn;zh.wikipedia.org
556,00e256345587930c5f1dbaa6510b94d64f2dc66bd3c09cd1,books/literary/publisher,generic_copyright_or_bibliographic_marker,False,False,False,False,True,556,True,False,latin_or_other,81726,
561,5b5bb6718904c86d6f8ede37a4f0fbf888ec13b354b9a6b2,books/literary/publisher,generic_copyright_or_bibliographic_marker,False,False,False,False,True,128890,False,False,latin_or_other,295620,comptroller.texas.gov;esbd.cpa.state.tx.us.when;ethics.state.tx.us;fmx.cpa.state.tx.us;publishingext.dir.texas.gov;utsystem.edu;whitehouse.gov;window.state.tx.us
563,19e5fe6c64877b748af0975d17057ab80190b6125838e09e,books/literary/publisher,explicit_restrictive_notice,True,False,False,False,True,48,True,False,latin_or_other,47902,revellbooks.com
569,20b5d3b200a70bab72848f95fff6ff2bff61b26582811885,books/literary/publisher,explicit_restrictive_notice,True,False,False,False,True,1553,True,False,latin_or_other,43197,periplus.com;tuttlepublishing.com
575,fd7d79453c126b8b351ca86c0ac145da501e5ee02be31eb8,books/literary/publisher,explicit_restrictive_notice,True,False,False,False,True,114625,True,False,latin_or_other,117849,ospreygames.co.uk;ospreypublishing.com
588,ed3e180aa56f9fa51faa807667bacc0cbb92049c2454f285,corporate/financial/ESG,explicit_restrictive_notice,True,False,False,False,True,1424,True,False,han,96782,chinavbf.com;gdrcu.com;home.kpmg.com
590,c83081d6170014dfccb28551212ad1aab33a4c0f78e3436f,books/literary/publisher,explicit_restrictive_notice,True,False,False,False,True,355,True,False,latin_or_other,80306,
